,Cluster 0,Cluster 3,Cluster 1,Cluster 2
FAMILY,85.0,69.0,27.0,4.0
GAME,45.0,31.0,,
PERSONALIZATION,30.0,40.0,11.0,
MEDICAL,29.0,37.0,17.0,
TOOLS,24.0,34.0,20.0,
COMMUNICATION,,,10.0,
FINANCE,,,,7.0
LIFESTYLE,,,,6.0
