,Price,Price,Price,Price,Success_Score,Success_Score,Rating,Rating,Installs,Installs,App
,mean,median,min,max,mean,median,mean,median,mean,median,count
Cluster,,,,,,,,,,,
0,4.46,2.99,0.99,79.99,0.68,0.63,4.54,4.6,189397.65,10000.0,298
1,9.49,2.99,0.99,200.0,-1.09,-0.91,3.68,4.0,652.55,10.0,139
2,392.05,399.99,299.99,400.0,-0.33,-0.31,3.91,4.0,12888.24,5000.0,17
3,4.33,2.99,0.99,74.99,-0.15,-0.12,4.3,4.3,3669.66,500.0,304
