,FAMILY,GAME,TOOLS,BUSINESS,MEDICAL,PERSONALIZATION,PRODUCTIVITY,LIFESTYLE,FINANCE,SPORTS
Free,4.1907772621809745,4.239293849658314,4.049667110519308,4.137254901960785,4.191373801916933,4.3210169491525425,4.2034682080924854,4.105714285714286,4.148780487804878,4.233003300330033
Low-cost,4.266666666666667,4.324,4.264705882352941,4.2,4.209090909090909,4.486486486486487,4.36,4.75,,4.5
Mid-price,4.2671875,4.37872340425532,4.1722222222222225,4.433333333333334,4.265625,4.407142857142857,4.276470588235294,4.475,3.566666666666667,4.233333333333333
High-price,4.425,4.457142857142857,3.875,3.6,4.336842105263158,4.199999999999999,3.9799999999999995,4.55,4.3,3.9
Premium,4.486666666666666,4.333333333333333,4.133333333333334,3.725,4.171428571428571,,4.3,,4.375,4.1
